date,NO2
9/20/2025,9.12E-05
9/21/2025,2.91E-05
9/22/2025,3.29E-05
9/23/2025,3.92E-05
9/24/2025,3.34E-05
9/25/2025,3.25E-05
9/26/2025,5.87E-05
9/27/2025,4.83E-05
9/28/2025,1.21E-05
9/30/2025,3.13E-05
10/1/2025,1.22E-05
10/2/2025,2.88E-05
10/3/2025,2.31E-05
10/4/2025,3.66E-05
10/5/2025,2.45E-05
10/6/2025,4.77E-05
10/7/2025,4.03E-05
10/8/2025,1.26E-05
10/9/2025,3.57E-05
10/10/2025,2.58E-05
10/12/2025,1.75E-05
10/13/2025,5.30E-05
10/14/2025,7.99E-05
10/15/2025,4.21E-05
10/17/2025,5.01E-05
10/18/2025,3.24E-05
10/19/2025,3.62E-05
